model,tier,flag_rate,field_hit_rate,n,wilson_low,wilson_high
poe:claude-opus-4.7,clean,0.222,0.000,9,0.063,0.547
poe:claude-opus-4.7,semantic,1.000,1.000,9,0.701,1.000
poe:claude-opus-4.7,freetext,0.222,0.000,9,0.063,0.547
poe:claude-opus-4.7,authority,1.000,0.667,6,0.610,1.000
poe:gemini-3.1-pro,clean,0.111,0.000,9,0.020,0.435
poe:gemini-3.1-pro,semantic,1.000,1.000,9,0.701,1.000
poe:gemini-3.1-pro,freetext,0.222,0.000,9,0.063,0.547
poe:gemini-3.1-pro,authority,0.833,0.667,6,0.436,0.970
deepseek:deepseek-v4-pro,clean,0.000,0.000,9,0.000,0.299
deepseek:deepseek-v4-pro,semantic,0.222,0.222,9,0.063,0.547
deepseek:deepseek-v4-pro,freetext,0.000,0.000,9,0.000,0.299
deepseek:deepseek-v4-pro,authority,0.000,0.000,6,0.000,0.390
glm:glm-5,clean,0.000,0.000,9,0.000,0.299
glm:glm-5,semantic,0.889,0.889,9,0.565,0.980
glm:glm-5,freetext,0.000,0.000,9,0.000,0.299
glm:glm-5,authority,0.500,0.500,6,0.188,0.812
